TZ Correct,Date From,Date To
1,10/4/2015 1:00,10/11/2015 1:00
1.25,10/4/2015 1:00,10/5/2015 1:00
1.5,10/4/2015 1:00,10/6/2015 1:00
1.75,10/4/2015 1:00,10/11/2015 1:00
2,10/4/2015 1:00,10/5/2015 1:00
1,10/4/2015 15:58,10/6/2015 0:36
1.25,10/4/2015 23:20,10/6/2015 0:57
1.5,10/5/2015 4:10,10/6/2015 2:52
1.75,10/5/2015 6:22,10/7/2015 1:47
2,10/6/2015 2:29,10/7/2015 3:04
1,10/6/2015 12:28,10/7/2015 21:32
1.25,10/7/2015 8:22,10/8/2015 16:41
1.5,10/8/2015 8:08,10/9/2015 11:21
1.75,10/9/2015 4:45,10/9/2015 13:34
2,10/9/2015 23:31,10/10/2015 12:28
1,10/10/2015 16:49,10/11/2015 5:18
1.25,10/11/2015 2:10,10/12/2015 0:40
1.5,10/11/2015 10:20,10/12/2015 20:09
1.75,10/11/2015 19:10,10/13/2015 10:17
2,10/12/2015 12:33,10/14/2015 7:56
1,10/13/2015 3:44,10/14/2015 8:41
1.25,10/13/2015 9:36,10/14/2015 19:56
1.5,10/14/2015 7:42,10/15/2015 11:48
1.75,10/15/2015 3:20,10/15/2015 19:11
2,10/15/2015 18:49,10/16/2015 19:03
1,10/16/2015 3:33,10/16/2015 19:45
1.25,10/16/2015 22:56,10/16/2015 21:13
1.5,10/17/2015 1:19,10/17/2015 4:44
1.75,10/17/2015 3:56,10/18/2015 1:13
2,10/17/2015 11:23,10/19/2015 0:37
1,10/18/2015 8:16,10/19/2015 16:52
1.25,10/18/2015 19:46,10/20/2015 7:38
1.5,10/18/2015 22:06,10/21/2015 3:54
1.75,10/19/2015 7:55,10/21/2015 23:49
2,10/19/2015 15:27,10/22/2015 11:06
1,10/20/2015 11:44,10/23/2015 4:38
1.25,10/20/2015 19:53,10/23/2015 10:19
1.5,10/21/2015 12:09,10/24/2015 8:06
1.75,10/21/2015 18:53,10/24/2015 18:53
2,10/22/2015 0:54,10/24/2015 19:01
1,10/22/2015 21:10,10/25/2015 13:57
1.25,10/23/2015 3:24,10/25/2015 20:34
1.5,10/23/2015 10:19,10/26/2015 17:45
1.75,10/24/2015 5:15,10/27/2015 8:05
2,10/25/2015 0:10,10/28/2015 3:59
1,10/25/2015 1:00,10/29/2015 2:41
1.25,10/25/2015 4:09,10/29/2015 10:01
1.5,10/25/2015 13:16,10/30/2015 1:25
1.75,10/25/2015 21:39,10/30/2015 15:26
2,10/26/2015 7:07,10/31/2015 1:53
1,10/26/2015 19:42,10/31/2015 7:13
1.25,10/27/2015 3:36,10/31/2015 16:39
1.5,10/27/2015 13:40,11/1/2015 7:19
1.75,10/28/2015 3:25,11/2/2015 2:48
2,10/28/2015 14:43,11/2/2015 7:39
1,10/29/2015 9:00,11/3/2015 3:34
1.25,10/30/2015 2:54,11/3/2015 5:16
1.5,10/30/2015 13:04,11/3/2015 19:08
1.75,10/31/2015 12:41,11/4/2015 12:21
2,11/1/2015 11:58,11/4/2015 13:36
1,11/2/2015 10:37,11/4/2015 23:49
1.25,11/2/2015 22:14,11/5/2015 13:12
1.5,11/2/2015 23:48,11/5/2015 15:57
1.75,11/3/2015 9:00,11/6/2015 14:03
2,11/4/2015 5:38,11/7/2015 0:44
1,11/4/2015 13:56,11/7/2015 3:35
1.25,11/4/2015 19:09,11/7/2015 8:09
1.5,11/5/2015 14:27,11/7/2015 16:04
1.75,11/6/2015 10:42,11/8/2015 15:12
2,11/6/2015 23:06,11/8/2015 22:55
1,11/7/2015 22:53,11/9/2015 3:28
1.25,11/8/2015 22:51,11/9/2015 3:32
1.5,11/9/2015 21:18,11/9/2015 13:36
1.75,11/10/2015 2:04,11/9/2015 16:08
2,11/10/2015 14:41,11/10/2015 8:22
1,11/10/2015 17:21,11/10/2015 12:40
1.25,11/11/2015 15:16,11/11/2015 10:20
1.5,11/12/2015 14:10,11/12/2015 7:57
1.75,11/12/2015 20:08,11/13/2015 7:40
2,11/13/2015 6:37,11/13/2015 17:38
1,11/13/2015 14:57,11/14/2015 15:26
1.25,11/13/2015 20:04,11/15/2015 8:05
1.5,11/14/2015 10:55,11/15/2015 18:21
1.75,11/15/2015 7:13,11/15/2015 21:02
2,11/15/2015 21:41,11/16/2015 8:10
1,11/16/2015 16:25,11/16/2015 20:45
1.25,11/17/2015 7:26,11/17/2015 2:49
1.5,11/17/2015 23:14,11/17/2015 8:10
1.75,11/18/2015 20:18,11/17/2015 18:26
2,11/19/2015 16:08,11/18/2015 14:19
1,11/20/2015 15:44,11/19/2015 11:06
1.25,11/20/2015 18:10,11/20/2015 2:19
1.5,11/21/2015 3:16,11/20/2015 14:13
1.75,11/22/2015 2:38,11/21/2015 6:18
2,11/23/2015 0:33,11/21/2015 20:25
1,11/23/2015 19:18,11/22/2015 17:08
1.25,11/24/2015 5:33,11/23/2015 9:47
1.5,11/24/2015 11:08,11/23/2015 20:30
1.75,11/25/2015 2:51,11/23/2015 21:35
2,11/25/2015 5:51,11/24/2015 14:40
1,11/26/2015 2:52,11/24/2015 22:17
1.25,11/26/2015 20:20,11/25/2015 13:00
1.5,11/26/2015 23:12,11/26/2015 10:35
1.75,11/27/2015 8:07,11/27/2015 5:10
2,11/28/2015 1:50,11/27/2015 20:00
1,11/28/2015 21:11,11/28/2015 16:03
1.25,11/29/2015 5:11,11/28/2015 20:58
1.5,11/29/2015 21:29,11/29/2015 11:04
1.75,11/30/2015 1:38,11/30/2015 5:46
2,11/30/2015 16:34,12/1/2015 3:03
1,12/1/2015 0:29,12/1/2015 12:50
1.25,12/1/2015 1:15,12/2/2015 3:41
1.5,12/1/2015 23:28,12/3/2015 0:36
1.75,12/2/2015 1:58,12/3/2015 7:17
2,12/2/2015 19:43,12/3/2015 13:41
1,12/3/2015 4:44,12/3/2015 15:47
1.25,12/3/2015 12:58,12/4/2015 5:17
1.5,12/4/2015 1:52,12/5/2015 5:02
1.75,12/4/2015 19:37,12/5/2015 20:49
2,12/5/2015 9:32,12/5/2015 23:41
1,12/6/2015 5:07,12/6/2015 16:09
1.25,12/6/2015 6:48,12/7/2015 3:35
1.5,12/6/2015 13:00,12/7/2015 4:20
1.75,12/6/2015 13:46,12/7/2015 10:41
2,12/6/2015 23:24,12/8/2015 7:35
1,12/7/2015 19:34,12/9/2015 2:40
1.25,12/8/2015 13:20,12/10/2015 1:15
1.5,12/9/2015 9:07,12/10/2015 3:15
1.75,12/9/2015 10:48,12/10/2015 5:38
2,12/9/2015 15:34,12/10/2015 10:18
1,12/10/2015 1:58,12/10/2015 22:04
1.25,12/11/2015 0:49,12/11/2015 5:23
1.5,12/11/2015 4:43,12/11/2015 8:23
1.75,12/11/2015 9:53,12/11/2015 13:32
2,12/12/2015 7:58,12/11/2015 23:31
1,12/13/2015 4:58,12/12/2015 19:22
1.25,12/13/2015 6:47,12/13/2015 5:57
1.5,12/13/2015 20:12,12/13/2015 22:35
1.75,12/14/2015 3:07,12/13/2015 23:09
2,12/14/2015 9:45,12/14/2015 22:41
1,12/15/2015 1:38,12/15/2015 6:34
1.25,12/15/2015 9:19,12/15/2015 18:07
1.5,12/16/2015 9:02,12/15/2015 23:46
1.75,12/16/2015 22:18,12/15/2015 23:59
2,12/17/2015 13:27,12/16/2015 20:29
1,12/18/2015 2:54,12/17/2015 15:44
1.25,12/18/2015 12:43,12/18/2015 0:53
1.5,12/18/2015 23:15,12/18/2015 3:37
1.75,12/19/2015 5:24,12/18/2015 14:11
2,12/19/2015 21:22,12/18/2015 19:04
1,12/20/2015 5:06,12/19/2015 11:49
1.25,12/20/2015 11:06,12/20/2015 9:16
1.5,12/21/2015 7:27,12/20/2015 19:57
1.75,12/21/2015 22:20,12/21/2015 9:05
2,12/22/2015 10:16,12/21/2015 18:03
1,12/22/2015 12:18,12/22/2015 10:33
1.25,12/22/2015 15:31,12/22/2015 17:36
1.5,12/22/2015 19:04,12/22/2015 23:25
1.75,12/23/2015 1:38,12/23/2015 18:58
2,12/23/2015 12:35,12/24/2015 9:45
1,12/24/2015 6:03,12/24/2015 11:10
1.25,12/24/2015 11:30,12/24/2015 14:11
1.5,12/24/2015 13:46,12/25/2015 1:31
1.75,12/25/2015 2:34,12/25/2015 4:32
2,12/25/2015 9:49,12/25/2015 5:58
1,12/26/2015 2:54,12/25/2015 9:32
1.25,12/26/2015 4:03,12/25/2015 12:33
1.5,12/26/2015 9:20,12/25/2015 14:05
1.75,12/26/2015 18:06,12/26/2015 7:12
2,12/27/2015 8:38,12/26/2015 10:04
1,12/28/2015 4:30,12/26/2015 19:40
1.25,12/28/2015 13:01,12/26/2015 20:51
1.5,12/29/2015 4:32,12/27/2015 3:29
1.75,12/29/2015 18:12,12/28/2015 2:29
2,12/30/2015 14:04,12/29/2015 0:50
1,12/30/2015 17:46,12/29/2015 8:09
1.25,12/30/2015 23:33,12/29/2015 11:00
1.5,12/31/2015 8:52,12/29/2015 16:02
1.75,12/31/2015 9:32,12/30/2015 10:16
2,1/1/2016 8:34,12/30/2015 21:10
1,1/1/2016 23:05,12/31/2015 15:19
1.25,1/2/2016 0:03,1/1/2016 8:51
1.5,1/2/2016 15:48,1/2/2016 0:02
1.75,1/3/2016 11:06,1/2/2016 10:56
2,1/4/2016 6:59,1/2/2016 11:12
1,1/5/2016 5:19,1/3/2016 5:05
1.25,1/6/2016 4:09,1/3/2016 17:12
1.5,1/6/2016 8:46,1/4/2016 15:36
1.75,1/7/2016 4:25,1/5/2016 4:21
2,1/7/2016 12:52,1/5/2016 8:52
1,1/7/2016 16:28,1/5/2016 17:29
1.25,1/7/2016 16:50,1/6/2016 15:59
1.5,1/7/2016 18:07,1/7/2016 2:43
1.75,1/7/2016 23:39,1/7/2016 14:23
2,1/8/2016 18:11,1/8/2016 13:10
1,1/9/2016 6:31,1/9/2016 10:55
1.25,1/9/2016 14:01,1/10/2016 4:00
1.5,1/10/2016 7:36,1/11/2016 1:14
1.75,1/10/2016 11:16,1/11/2016 4:51
2,1/10/2016 20:11,1/11/2016 8:26
1,1/11/2016 15:29,1/11/2016 18:59
1.25,1/12/2016 5:01,1/11/2016 21:43
1.5,1/13/2016 4:08,1/12/2016 5:20
1.75,1/14/2016 2:53,1/12/2016 16:50
2,1/14/2016 23:45,1/12/2016 18:23
1,1/15/2016 9:12,1/13/2016 18:15
1.25,1/16/2016 1:09,1/14/2016 7:00
1.5,1/16/2016 5:35,1/14/2016 9:42
1.75,1/16/2016 21:02,1/15/2016 2:22
2,1/17/2016 9:36,1/15/2016 2:26
1,1/17/2016 18:02,1/15/2016 4:42
1.25,1/18/2016 14:44,1/15/2016 11:35
1.5,1/18/2016 14:44,1/16/2016 3:41
1.75,1/19/2016 0:13,1/16/2016 11:44
2,1/19/2016 2:18,1/16/2016 22:03
1,1/20/2016 1:38,1/17/2016 8:10
1.25,1/20/2016 7:24,1/17/2016 9:48
1.5,1/21/2016 3:07,1/17/2016 11:40
1.75,1/22/2016 0:18,1/17/2016 19:16
2,1/22/2016 2:58,1/18/2016 6:49
1,1/22/2016 6:45,1/18/2016 13:38
1.25,1/23/2016 0:44,1/18/2016 17:12
1.5,1/23/2016 1:02,1/19/2016 1:04
1.75,1/23/2016 2:46,1/19/2016 6:21
2,1/23/2016 11:12,1/19/2016 10:11
1,1/23/2016 23:40,1/20/2016 6:40
1.25,1/24/2016 13:13,1/20/2016 6:45
1.5,1/24/2016 14:54,1/20/2016 18:49
1.75,1/24/2016 16:03,1/21/2016 6:58
2,1/25/2016 1:36,1/21/2016 9:39
1,1/25/2016 13:57,1/21/2016 22:58
1.25,1/26/2016 3:17,1/22/2016 17:42
1.5,1/26/2016 11:11,1/22/2016 21:55
1.75,1/26/2016 23:29,1/23/2016 1:14
2,1/26/2016 23:43,1/23/2016 15:51
1,1/27/2016 1:57,1/24/2016 12:44
1.25,1/28/2016 0:23,1/25/2016 1:58
1.5,1/28/2016 10:17,1/25/2016 19:34
1.75,1/29/2016 0:41,1/26/2016 13:48
2,1/29/2016 10:11,1/26/2016 23:04
1,1/29/2016 22:42,1/27/2016 9:27
1.25,1/30/2016 3:49,1/27/2016 9:42
1.5,1/30/2016 7:29,1/28/2016 7:34
1.75,1/31/2016 4:50,1/28/2016 13:31
2,1/31/2016 8:09,1/28/2016 20:55
1,1/31/2016 19:20,1/28/2016 23:21
1.25,2/1/2016 7:51,1/29/2016 14:05
1.5,2/1/2016 20:01,1/29/2016 17:15
1.75,2/2/2016 8:00,1/29/2016 21:46
2,2/3/2016 4:06,1/30/2016 7:09
1,2/3/2016 7:26,1/30/2016 12:26
1.25,2/3/2016 7:49,1/31/2016 9:40
1.5,2/3/2016 13:56,2/1/2016 7:39
1.75,2/4/2016 10:38,2/2/2016 4:51
2,2/4/2016 19:42,2/2/2016 21:51
1,2/4/2016 20:10,2/2/2016 22:14
1.25,2/5/2016 5:26,2/3/2016 7:40
1.5,2/5/2016 23:12,2/4/2016 0:40
1.75,2/6/2016 23:07,2/4/2016 13:16
2,2/7/2016 7:23,2/5/2016 9:35
1,2/7/2016 19:52,2/6/2016 8:29
1.25,2/8/2016 1:24,2/7/2016 4:14
1.5,2/8/2016 3:57,2/7/2016 22:58
1.75,2/8/2016 8:15,2/8/2016 7:34
2,2/9/2016 1:56,2/8/2016 13:09
1,2/9/2016 20:08,2/9/2016 9:35
1.25,2/10/2016 14:32,2/9/2016 23:17
1.5,2/11/2016 5:12,2/10/2016 13:13
1.75,2/11/2016 6:25,2/11/2016 4:51
2,2/12/2016 4:38,2/11/2016 22:26
1,2/12/2016 5:52,2/12/2016 6:49
1.25,2/13/2016 0:01,2/12/2016 22:41
1.5,2/13/2016 13:08,2/13/2016 22:00
1.75,2/14/2016 6:02,2/14/2016 3:27
2,2/15/2016 3:45,2/14/2016 22:24
1,2/15/2016 13:40,2/15/2016 7:01
1.25,2/16/2016 4:57,2/16/2016 2:16
1.5,2/16/2016 10:08,2/16/2016 11:56
1.75,2/17/2016 1:05,2/17/2016 1:19
2,2/17/2016 21:20,2/17/2016 20:45
1,2/17/2016 23:40,2/17/2016 22:14
1.25,2/18/2016 13:32,2/18/2016 15:35
1.5,2/19/2016 11:52,2/18/2016 23:10
1.75,2/19/2016 19:42,2/19/2016 14:44
2,2/20/2016 16:13,2/20/2016 4:47
1,2/20/2016 23:12,2/20/2016 20:05
1.25,2/21/2016 0:22,2/21/2016 11:23
1.5,2/21/2016 12:58,2/21/2016 15:39
1.75,2/21/2016 20:16,2/21/2016 21:05
2,2/22/2016 2:18,2/22/2016 2:43
1,2/22/2016 4:23,2/22/2016 22:24
1.25,2/22/2016 20:32,2/23/2016 16:45
1.5,2/23/2016 17:23,2/24/2016 10:53
1.75,2/24/2016 4:38,2/25/2016 9:24
2,2/24/2016 23:15,2/25/2016 23:36
1,2/25/2016 8:52,2/25/2016 23:50
1.25,2/26/2016 5:55,2/26/2016 8:48
1.5,2/27/2016 3:45,2/26/2016 19:36
1.75,2/27/2016 6:00,2/27/2016 2:16
2,2/27/2016 22:03,2/27/2016 8:46
1,2/28/2016 15:00,2/28/2016 5:45
1.25,2/29/2016 3:47,2/28/2016 16:22
1.5,2/29/2016 13:32,2/28/2016 18:08
1.75,2/29/2016 19:35,2/29/2016 0:03
2,3/1/2016 3:08,2/29/2016 22:15
1,3/1/2016 10:57,3/1/2016 14:45
1.25,3/1/2016 13:35,3/2/2016 1:31
1.5,3/2/2016 0:13,3/2/2016 21:19
1.75,3/2/2016 20:30,3/3/2016 4:56
2,3/3/2016 11:17,3/3/2016 23:16
1,3/3/2016 13:16,3/4/2016 13:39
1.25,3/4/2016 12:09,3/5/2016 3:18
1.5,3/5/2016 6:30,3/5/2016 4:19
1.75,3/5/2016 13:51,3/5/2016 7:05
2,3/6/2016 4:26,3/6/2016 2:38
1,3/7/2016 3:11,3/6/2016 2:59
1.25,3/7/2016 11:35,3/6/2016 8:15
1.5,3/7/2016 12:48,3/7/2016 4:16
1.75,3/8/2016 2:53,3/7/2016 7:04
2,3/8/2016 10:00,3/7/2016 18:49
1,3/8/2016 23:51,3/8/2016 1:01
1.25,3/9/2016 4:25,3/8/2016 4:10
1.5,3/9/2016 8:59,3/8/2016 23:30
1.75,3/9/2016 11:05,3/9/2016 5:12
2,3/9/2016 19:11,3/9/2016 13:39
1,3/10/2016 2:34,3/10/2016 0:40
1.25,3/10/2016 11:17,3/10/2016 13:52
1.5,3/10/2016 16:50,3/11/2016 4:11
1.75,3/11/2016 4:44,3/11/2016 12:11
2,3/12/2016 1:08,3/11/2016 12:46
1,3/12/2016 5:16,3/11/2016 20:33
1.25,3/12/2016 22:34,3/11/2016 22:19
1.5,3/12/2016 23:48,3/11/2016 23:03
1.75,3/13/2016 5:24,3/12/2016 7:40
2,3/13/2016 6:36,3/12/2016 13:34
1,3/14/2016 1:34,3/12/2016 16:19
1.25,3/14/2016 21:35,3/13/2016 2:21
1.5,3/15/2016 6:28,3/13/2016 9:12
1.75,3/15/2016 18:39,3/13/2016 10:17
2,3/15/2016 18:59,3/14/2016 5:03
1,3/16/2016 10:41,3/14/2016 13:56
1.25,3/16/2016 10:47,3/15/2016 12:56
1.5,3/16/2016 18:02,3/16/2016 2:43
1.75,3/17/2016 4:29,3/16/2016 4:47
2,3/17/2016 4:35,3/16/2016 9:19
1,3/17/2016 9:29,3/16/2016 21:09
1.25,3/17/2016 13:13,3/17/2016 19:43
1.5,3/17/2016 15:04,3/18/2016 1:45
1.75,3/18/2016 2:52,3/18/2016 22:11
2,3/18/2016 21:11,3/19/2016 12:45
1,3/19/2016 15:30,3/20/2016 6:23
1.25,3/20/2016 12:42,3/20/2016 13:27
1.5,3/21/2016 9:41,3/21/2016 6:30
1.75,3/21/2016 23:06,3/21/2016 18:12
2,3/22/2016 10:01,3/22/2016 9:00
1,3/22/2016 11:24,3/22/2016 19:02
1.25,3/22/2016 23:57,3/23/2016 9:33
1.5,3/23/2016 8:46,3/23/2016 12:25
1.75,3/24/2016 2:55,3/23/2016 17:17
2,3/24/2016 3:30,3/24/2016 8:27
1,3/25/2016 1:35,3/24/2016 11:57
1.25,3/25/2016 6:49,3/24/2016 18:01
1.5,3/25/2016 18:26,3/25/2016 11:05
1.75,3/25/2016 18:26,3/25/2016 15:38
2,3/25/2016 19:58,3/26/2016 14:13
1,3/25/2016 23:32,3/26/2016 16:49
1.25,3/26/2016 22:39,3/27/2016 9:56
1.5,3/27/2016 21:17,3/27/2016 12:59
1.75,3/28/2016 2:49,3/27/2016 23:10
2,3/28/2016 6:26,3/28/2016 4:48
1,3/28/2016 15:13,3/29/2016 3:58
1.25,3/29/2016 13:02,3/29/2016 8:22
1.5,3/30/2016 1:57,3/29/2016 13:19
1.75,3/31/2016 1:25,3/30/2016 11:06
2,3/31/2016 20:37,3/30/2016 14:34
1,4/1/2016 10:25,3/31/2016 4:10
1.25,4/2/2016 4:21,3/31/2016 17:46
1.5,4/2/2016 22:41,4/1/2016 11:47
1.75,4/3/2016 10:00,4/1/2016 23:15
2,4/3/2016 10:43,4/2/2016 7:44
1,4/4/2016 8:16,4/2/2016 20:40
1.25,4/4/2016 11:09,4/3/2016 18:49
1.5,4/5/2016 9:41,4/4/2016 10:55
1.75,4/6/2016 0:58,4/5/2016 6:21
2,4/6/2016 11:39,4/5/2016 19:29
1,4/7/2016 11:18,4/5/2016 20:25
1.25,4/8/2016 7:24,4/5/2016 21:02
1.5,4/9/2016 3:01,4/6/2016 18:29
1.75,4/9/2016 11:32,4/7/2016 6:05
2,4/9/2016 21:00,4/8/2016 6:04
1,4/10/2016 15:29,4/9/2016 0:13
1.25,4/10/2016 18:03,4/9/2016 5:32
1.5,4/10/2016 18:19,4/10/2016 3:22
1.75,4/10/2016 22:56,4/10/2016 17:13
2,4/11/2016 9:12,4/10/2016 20:55
1,4/11/2016 15:43,4/11/2016 6:41
1.25,4/12/2016 11:23,4/11/2016 8:04
1.5,4/13/2016 8:20,4/12/2016 1:18
1.75,4/14/2016 7:00,4/12/2016 22:03
2,4/15/2016 4:56,4/13/2016 18:30
1,4/15/2016 23:24,4/14/2016 10:00
1.25,4/16/2016 23:22,4/14/2016 16:46
1.5,4/17/2016 13:07,4/14/2016 22:15
1.75,4/17/2016 13:20,4/15/2016 1:18
2,4/18/2016 10:32,4/15/2016 13:25
1,4/18/2016 23:30,4/16/2016 3:43
1.25,4/19/2016 11:30,4/16/2016 18:54
1.5,4/20/2016 0:00,4/17/2016 13:11
1.75,4/20/2016 10:24,4/18/2016 10:40
2,4/20/2016 21:31,4/19/2016 6:17
1,4/20/2016 22:27,4/20/2016 1:26
1.25,4/21/2016 11:52,4/20/2016 17:00
1.5,4/21/2016 19:11,4/21/2016 10:33
1.75,4/21/2016 22:43,4/21/2016 21:20
2,4/22/2016 16:39,4/22/2016 19:13
1,4/23/2016 5:06,4/23/2016 1:17
1.25,4/23/2016 17:32,4/23/2016 21:21
1.5,4/23/2016 21:33,4/24/2016 1:11
1.75,4/23/2016 22:38,4/24/2016 9:38
2,4/24/2016 22:14,4/24/2016 18:02
1,4/25/2016 14:20,4/25/2016 11:17
1.25,4/25/2016 21:56,4/26/2016 7:59
1.5,4/26/2016 14:39,4/26/2016 10:37
1.75,4/26/2016 19:22,4/27/2016 0:44
2,4/27/2016 11:36,4/27/2016 19:40
1,4/27/2016 14:42,4/28/2016 5:51
1.25,4/27/2016 23:47,4/28/2016 16:00
1.5,4/28/2016 22:01,4/29/2016 15:36
1.75,4/29/2016 12:56,4/29/2016 22:38
2,4/29/2016 14:45,4/30/2016 20:24
1,4/30/2016 1:46,4/30/2016 21:01
1.25,4/30/2016 6:13,5/1/2016 1:05
1.5,4/30/2016 22:04,5/1/2016 17:24
1.75,5/1/2016 1:32,5/2/2016 5:45
2,5/2/2016 0:36,5/3/2016 3:04
1,5/2/2016 22:38,5/3/2016 22:55
1.25,5/3/2016 17:57,5/4/2016 10:43
1.5,5/4/2016 11:25,5/4/2016 18:57
1.75,5/4/2016 12:14,5/5/2016 10:47
2,5/4/2016 16:00,5/6/2016 10:25
1,5/5/2016 1:45,5/6/2016 18:53
1.25,5/5/2016 15:54,5/7/2016 4:43
1.5,5/6/2016 13:37,5/7/2016 12:00
1.75,5/7/2016 9:49,5/7/2016 17:20
2,5/8/2016 6:02,5/7/2016 20:31
1,5/9/2016 4:33,5/8/2016 10:04
1.25,5/9/2016 10:44,5/9/2016 1:18
1.5,5/10/2016 9:06,5/9/2016 18:32
1.75,5/11/2016 7:43,5/10/2016 4:06
2,5/11/2016 13:42,5/10/2016 20:15
1,5/12/2016 11:32,5/10/2016 23:03
1.25,5/13/2016 2:15,5/11/2016 6:26
1.5,5/13/2016 15:55,5/11/2016 9:07
1.75,5/14/2016 5:26,5/12/2016 0:47
2,5/15/2016 1:18,5/12/2016 1:16
1,5/15/2016 20:01,5/12/2016 8:53
1.25,5/15/2016 23:57,5/12/2016 21:22
1.5,5/16/2016 12:37,5/13/2016 8:20
1.75,5/17/2016 10:51,5/13/2016 11:36
2,5/17/2016 16:10,5/14/2016 9:12
1,5/18/2016 8:16,5/14/2016 23:35
1.25,5/18/2016 15:01,5/15/2016 2:37
1.5,5/19/2016 5:31,5/15/2016 20:54
1.75,5/19/2016 5:41,5/16/2016 3:01
2,5/19/2016 22:49,5/16/2016 4:45
1,5/20/2016 0:52,5/16/2016 9:20
1.25,5/20/2016 21:36,5/16/2016 21:36
1.5,5/21/2016 1:28,5/17/2016 19:45
1.75,5/21/2016 2:28,5/18/2016 3:58
2,5/21/2016 11:20,5/18/2016 5:48
1,5/22/2016 11:14,5/19/2016 5:41
1.25,5/23/2016 6:17,5/19/2016 17:07
1.5,5/24/2016 1:31,5/19/2016 23:04
1.75,5/24/2016 5:32,5/20/2016 16:54
2,5/24/2016 16:50,5/21/2016 16:06
1,5/25/2016 10:56,5/22/2016 0:56
1.25,5/25/2016 23:06,5/22/2016 16:14
1.5,5/26/2016 0:34,5/23/2016 9:42
1.75,5/26/2016 18:55,5/24/2016 1:16
2,5/27/2016 14:26,5/24/2016 7:16
1,5/27/2016 23:25,5/24/2016 19:40
1.25,5/28/2016 0:53,5/25/2016 5:13
1.5,5/28/2016 17:09,5/25/2016 22:57
1.75,5/29/2016 8:02,5/26/2016 9:42
2,5/29/2016 21:13,5/27/2016 2:23
1,5/30/2016 17:53,5/27/2016 18:44
1.25,5/31/2016 12:45,5/27/2016 22:33
1.5,5/31/2016 13:09,5/28/2016 12:56
1.75,5/31/2016 14:14,5/29/2016 2:17
2,6/1/2016 8:56,5/29/2016 8:07
1,6/1/2016 11:42,5/30/2016 7:35
1.25,6/1/2016 20:02,5/31/2016 2:06
1.5,6/2/2016 7:24,5/31/2016 23:36
1.75,6/2/2016 19:53,6/1/2016 3:20
2,6/3/2016 10:50,6/1/2016 20:32
1,6/4/2016 2:25,6/2/2016 9:00
1.25,6/4/2016 3:30,6/2/2016 12:31
1.5,6/4/2016 10:39,6/2/2016 23:36
1.75,6/4/2016 17:55,6/3/2016 10:37
2,6/5/2016 4:54,6/3/2016 23:05
